control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W1,14,kde,-1.560616206034518,0.06301841183980877
zero,W1,15,kde,-0.9375529788514282,0.058009492498343355
zero,W1,16,kde,-0.487833218838175,0.29991721024879586
zero,W1,17,kde,-1.3315434553060035,0.02729028386454242
zero,W1,18,kde,-0.9415100940493475,0.2617108710561423
zero,W1,19,kde,-1.3945032537170592,0.32103827605796664
zero,W1,20,kde,-1.3952167821923367,0.6514592670173533
zero,W1,21,kde,-1.261168128947222,0.7707319187018924
zero,W1,22,kde,-1.0941372462767878,0.21333239361314932
zero,W1,23,kde,-2.019629748965019,0.5339454360618721
zero,W1,24,kde,-1.726346911193567,0.15025284121928964
zero,W1,25,kde,-0.887541964861293,0.44007735199561454
zero,W1,26,kde,-0.7392268703150949,0.06824238053527587
zero,W1,27,kde,-1.217355027722391,0.5331700475875063
zero,W1,28,kde,-1.4507279313302772,0.7396774521779665
zero,W1,29,kde,-0.8071658279607626,0.06299942408755128
zero,W1,30,kde,-1.0694170316375025,0.6821185066636942
zero,W1,31,kde,-1.046260027966454,0.46336717903599295
zero,W1,0,empirical,0.12228331976216089,0.492251922436394
zero,W1,1,empirical,-0.03295444133190495,0.2727125753047317
zero,W1,2,empirical,0.0058594465845802635,0.046941278926231574
zero,W1,3,empirical,-0.14250609531039538,0.11778314046794608
zero,W1,4,empirical,0.004757089256803404,0.3217467166440597
zero,W1,5,empirical,-0.022194941141908675,0.2879288063977803
zero,W1,6,empirical,0.14191835287417431,0.5200200525610482
zero,W1,7,empirical,-0.22579135264472772,0.0
zero,W1,8,empirical,0.13354425054540608,0.4403507940797667
zero,W1,9,empirical,-0.0009361983526106066,0.31799320876940684
zero,W1,10,empirical,-0.22532674086057813,0.0006569160737571437
zero,W1,11,empirical,0.11920433604494263,0.48784040070624396
zero,W1,12,empirical,0.08249979594464363,0.43598950934437175
zero,W1,13,empirical,-0.03003814601509336,0.22427385445430703
zero,W1,14,empirical,-0.22579135264472772,0.0
zero,W1,15,empirical,0.013532299494631195,7.131359947341706e-13
zero,W1,16,empirical,0.293596186618305,0.7344603129715822
zero,W1,17,empirical,-0.22579130804425418,5.762417246246872e-08
zero,W1,18,empirical,-0.10304887398291318,0.10962736541107575
zero,W1,19,empirical,-0.17030152086226136,0.07847447268056554
zero,W1,20,empirical,-0.20530952036972927,0.028965684985501658
zero,W1,21,empirical,-0.20355790554586384,0.03144284242551804
zero,W1,22,empirical,-0.22579113633542636,3.059075476502371e-07
zero,W1,23,empirical,-0.22579135264472772,0.0
zero,W1,24,empirical,-0.22579135262233319,8.47221890705765e-13
zero,W1,25,empirical,-0.13709388420781932,0.11079956919897864
zero,W1,26,empirical,0.28894113243947395,0.09330833700757908
zero,W1,27,empirical,0.0991248669068423,0.45950092432482453
zero,W1,28,empirical,-0.1960137302232572,0.042111917483668784
zero,W1,29,empirical,0.3210870366817511,0.234197254071358
zero,W1,30,empirical,-0.041035608741802676,0.26128407875384685
zero,W1,31,empirical,0.16493375474862604,0.3625302359284639
zero,W1,0,oracle,-1.390617187716588,0.6657860231413223
zero,W1,1,oracle,-1.0115200852723798,0.058730459467431786
zero,W1,2,oracle,-1.047826080697952,0.11027274315017406
zero,W1,3,oracle,-2.3240658360017767,1.9438460078931046
zero,W1,4,oracle,-1.4069048825707193,0.2751405433435244
zero,W1,5,oracle,-1.3794404956550985,0.46871433128526013
zero,W1,6,oracle,-2.548472126133763,0.8614740045379329
zero,W1,7,oracle,-2.316615147226849,0.23742675722612594
zero,W1,8,oracle,-1.6057869527981246,0.6090133947473508
zero,W1,9,oracle,-1.604457940434208,0.5896234946245307
zero,W1,10,oracle,-1.0983408224083997,0.25214886209537907
zero,W1,11,oracle,-1.0820031624068311,0.12456201664160477
zero,W1,12,oracle,-1.0250764714952836,0.14698620472352547
zero,W1,13,oracle,-1.2456786230947627,0.13801340434538797
zero,W1,14,oracle,-1.355153303596491,0.537236294872054
zero,W1,15,oracle,-1.0189371799546123,0.00020080955334388122
zero,W1,16,oracle,-0.9382363806532348,0.020186231956234257
zero,W1,17,oracle,-1.4070161597969033,0.20662443253340804
zero,W1,18,oracle,-0.9847428522445403,0.009712177272790636
zero,W1,19,oracle,-2.063832956408357,0.569517709470648
zero,W1,20,oracle,-2.1752662501458158,1.6245041125562731
zero,W1,21,oracle,-1.665921403105942,0.22890911310571857
zero,W1,22,oracle,-1.1807008999556259,0.3689740602132398
zero,W1,23,oracle,-2.2179202394554487,0.40112405386230726
zero,W1,24,oracle,-2.02629702939406,0.5616469146033871
zero,W1,25,oracle,-1.1206748617786129,0.01983728213841128
zero,W1,26,oracle,-0.9350632141049082,0.0205663689650881
zero,W1,27,oracle,-1.2714921137269788,0.47719187525176393
zero,W1,28,oracle,-1.2348632867200533,0.4349215154468328
zero,W1,29,oracle,-0.9956935290764057,0.07843163651149396
zero,W1,30,oracle,-1.0532301659385341,0.1809040634882393
zero,W1,31,oracle,-1.414997551908487,0.28647320767263484
zero,W1,0,wdrpp_upper,-1.3984818917204163,0.6988782767942209
