traj_id,x_k,u_k,x_next,w_hat
0,2.0,0.0,0.3765943534167341,-0.29007231324993266
1,2.0,0.0,2.573380962552828,1.9067142958861611
2,2.0,0.0,6.185206364901735,5.518539698235068
3,2.0,0.0,-0.18748959005260168,-0.8541562567192684
4,2.0,0.0,-0.11077227837728731,-0.777438945043954
5,2.0,0.0,0.8882373683446696,0.22157070167800286
6,2.0,0.0,0.3436221075574175,-0.32304455910924923
7,2.0,0.0,1.431790810376484,0.7651241437098173
8,2.0,0.0,1.1918512259797607,0.5251845593130939
9,2.0,0.0,1.1402018040139361,0.4735351373472694
10,2.0,0.0,2.4098587157235443,1.7431920490568775
11,2.0,0.0,2.0436431456396797,1.376976478973013
12,2.0,0.0,0.2938474113853281,-0.37281925528133864
13,2.0,0.0,0.38563888998117235,-0.2810277766854944
14,2.0,0.0,0.6196120658417514,-0.047054600824915305
15,2.0,0.0,1.8874463957643077,1.220779729097641
16,2.0,0.0,1.4198533133086615,0.7531866466419948
17,2.0,0.0,1.0470626937848364,0.38039602711816967
18,2.0,0.0,-0.3222605822160647,-0.9889272488827314
19,2.0,0.0,1.495982947328946,0.8293162806622794
20,2.0,0.0,-0.2359748985343273,-0.902641565200994
21,2.0,0.0,1.255230316027789,0.5885636493611222
22,2.0,0.0,0.6001474939848073,-0.06651917268185947
23,2.0,0.0,1.4118768685956196,0.7452102019289528
24,2.0,0.0,0.5562129787284019,-0.11045368793826482
25,2.0,0.0,1.1115177404803303,0.4448510738136635
26,2.0,0.0,0.5060775652849401,-0.16058910138172666
27,2.0,0.0,2.9007616625251345,2.2340949958584675
28,2.0,0.0,-3.1852551548825785,-3.8519218215492455
29,2.0,0.0,1.1689380941249663,0.5022714274582996
30,2.0,0.0,1.2375889904921291,0.5709223238254624
31,2.0,0.0,-0.1455621426677829,-0.8122288093344496
32,2.0,0.0,1.295708437467331,0.6290417708006644
33,2.0,0.0,1.2144441498126035,0.5477774831459368
34,2.0,0.0,-0.3701947143904205,-1.0368613810570873
35,2.0,0.0,0.4092132586958587,-0.25745340797080807
36,2.0,0.0,0.7380060191650097,0.071339352498343
37,2.0,0.0,1.0385029490406508,0.37183628237398403
38,2.0,0.0,1.0547119305219876,0.3880452638553209
39,2.0,0.0,2.0321081797026266,1.3654415130359598
40,2.0,0.0,3.537747883109554,2.871081216442887
41,2.0,0.0,1.4118283671257945,0.7451617004591278
42,2.0,0.0,1.2239599657349904,0.5572932990683237
43,2.0,0.0,0.4751412028043285,-0.19152546386233826
44,2.0,0.0,0.38417377787884477,-0.28249288878782197
45,2.0,0.0,1.1676088453502826,0.5009421786836159
46,2.0,0.0,-0.1934636381489081,-0.8601303048155748
47,2.0,0.0,0.32473594965646113,-0.3419307170102056
48,2.0,0.0,2.1663793654166996,1.4997126987500329
49,2.0,0.0,0.5342100862997468,-0.13245658036691998
