control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W1,0,nominal,-1.3517552724614452,0.37716959367853886
zero,W1,1,nominal,-1.534435769356637,0.3983399537453779
zero,W1,2,nominal,-1.1822434974276395,0.33651435748873865
zero,W1,3,nominal,-1.8022097732863804,1.2480800016212128
zero,W1,4,nominal,-1.615984643985137,0.7005116591171993
zero,W1,5,nominal,-1.0037967946982067,0.06699711520566813
zero,W1,6,nominal,-0.9240819564209366,0.005728710026915213
zero,W1,7,nominal,-1.0811511201236468,0.1625776255755172
zero,W1,8,nominal,-1.4389004583312661,0.10270984800650695
zero,W1,9,nominal,-1.045534912242022,0.04225325346956117
zero,W1,10,nominal,-2.5539035124563183,0.7406414622521876
zero,W1,11,nominal,-3.811323847065272,4.088679646275635
zero,W1,12,nominal,-2.759873944657047,2.3770257811452113
zero,W1,13,nominal,-1.243989262953856,0.41523570339574806
zero,W1,14,nominal,-2.789316821939938,0.43079726986346184
zero,W1,15,nominal,-2.2657017242190935,0.3330199124201502
zero,W1,16,nominal,-0.9337111318172917,0.020150497952417763
zero,W1,17,nominal,-1.1936629726324028,0.3470858226769834
zero,W1,18,nominal,-0.9798723983635793,0.08099015449755283
zero,W1,19,nominal,-1.2500419511038074,0.05153808586613186
zero,W1,20,nominal,-1.5321476756300167,0.8085844711258067
zero,W1,21,nominal,-1.8455309525423147,1.1376934615107526
zero,W1,22,nominal,-1.3397877013016875,0.451811741201681
zero,W1,23,nominal,-1.6857042841320515,1.023498416327726
zero,W1,24,nominal,-1.0816062862988163,0.18067073452853402
zero,W1,25,nominal,-1.3540502936930596,0.08612891202896678
zero,W1,26,nominal,-2.0994780064193517,0.3487730062824517
zero,W1,27,nominal,-1.2382639495437142,0.12580894952610552
zero,W1,28,nominal,-1.9005333055444953,1.2023318859781589
zero,W1,29,nominal,-1.7155474252425884,1.0834810395844692
zero,W1,30,nominal,-1.3373061190011581,0.12080998586014588
zero,W1,31,nominal,-1.3662912673702925,0.3535972793914458
zero,W1,0,noise_drpp,-1.45854362551668,0.36015834016517123
zero,W1,1,noise_drpp,-1.5118137184670606,0.07939923437999846
zero,W1,2,noise_drpp,-1.350275079225805,0.1725843396943621
zero,W1,3,noise_drpp,-1.6648364466677414,0.22561781354881466
zero,W1,4,noise_drpp,-1.599136461380289,0.23451345243607458
zero,W1,5,noise_drpp,-1.7180611100789729,0.015282418403404488
zero,W1,6,noise_drpp,-1.7796793875415506,0.01301100372903148
zero,W1,7,noise_drpp,-1.79710384575474,0.01293031200051498
zero,W1,8,noise_drpp,-1.6866795694933516,0.05375874536377621
zero,W1,9,noise_drpp,-1.45762808338343,0.02928091282595264
zero,W1,10,noise_drpp,-2.0959871516579867,0.3117602347395278
zero,W1,11,noise_drpp,-3.150543230544974,2.8928897919575802
zero,W1,12,noise_drpp,-2.5992086390719584,2.1090941253208784
zero,W1,13,noise_drpp,-1.223979767054507,0.22106777771020283
zero,W1,14,noise_drpp,-2.148367537729177,0.09282286331134829
zero,W1,15,noise_drpp,-2.1596352325763473,0.4028564808561483
zero,W1,16,noise_drpp,-1.1467427917905317,0.0036784635649657147
zero,W1,17,noise_drpp,-1.7553894195796347,0.08761574414711532
zero,W1,18,noise_drpp,-1.4671260211099788,0.032069747091975645
zero,W1,19,noise_drpp,-1.5394803911335833,0.17674273182819478
zero,W1,20,noise_drpp,-1.9044784230500702,0.12827908642220723
zero,W1,21,noise_drpp,-1.8656030628202114,0.5581885590477891
zero,W1,22,noise_drpp,-1.5129031190386346,0.04134851641455549
zero,W1,23,noise_drpp,-1.7329911103627307,0.24652698688821248
zero,W1,24,noise_drpp,-1.6672220476927935,0.0499558529940392
zero,W1,25,noise_drpp,-1.6047612261855237,0.039487673947511424
zero,W1,26,noise_drpp,-1.902792044287997,0.15505321211826342
zero,W1,27,noise_drpp,-1.6775829713129835,0.1536905444044384
zero,W1,28,noise_drpp,-1.6707043231273082,0.2679072417270137
zero,W1,29,noise_drpp,-1.6269979823973781,0.5988377500671138
zero,W1,30,noise_drpp,-1.5008447149045925,0.0636365111728702
zero,W1,31,noise_drpp,-1.480314734440695,0.10114516185487507
zero,W1,0,kde,-1.5522176877516753,0.7105210128696289
zero,W1,1,kde,-1.5736268192180924,0.28770593263731636
zero,W1,2,kde,-1.070214699016822,0.3593664170310925
zero,W1,3,kde,-1.6416700309246717,0.673973137275866
